 覚悟と兆し|Resolutions and Omens
 横たわる神|The Slumbering God 
 和解の使者|Envoy of Reconciliation
 異界の戦士|Soldiers of the Rift 
 鈍色のアーク|The Dull Grey Ark
 森の中の少女|The Girl in the Forest 
 湯煙の館|The House of Steam 
 惑いの森の香ー未使用|The Scent of the Forest of Illusion - Unused 
 狙われた砦|The Assailed Fort
 黄昏の城|The Castle of Dusk 
 神の目覚め|The God's Awakening
 闇を纏う娘|The Girl Clad in Darkness
 奪われた心|The Stolen Heart 
 千の咆哮|The Roars of a Thousand
 いにしえに帰る|Return to Yore 
 友の来訪|A Friendly Visit 
 命の行方|The Course of Life 
 アーク再び|The Ark, Once More 
 友を思う|Thinking of a Friend 
 託された未来|The Entrusted Future 
 戦士たちの困惑|The Quandary of Soldiers 
 黄金郷の住人|The Dwellers of the Golden Land
 黄金の鍵|The Golden Key 
 偉大なる錬金術師|The Great Alchemist
 紅の結晶|The Crimson Crystal
 しもべの契り|A Servant's Pledge 
 ゴブリンの王|The Goblin King
 束の間の休息|A Brief Respite
 ケモノの最期|The Beast's Final Moments
 白竜よ永遠なれ|Be Forevermore, White Dragon 
 嵐が運びし厄災|The Storm That Brought a Tragedy 
 記憶のない娘|The Girl Who Lost Her Memories 
 侵食と騎士団|The Corruption and the Knights 
 魔窟探索|Exploring the Den of Monsters
 侵食魔掃討作戦|Eliminate the Corrosion Infestation
 大陸から来た男|The Man from Another Land
 レスタニアの命運|The Fate of Lestania 
 あらたな異変|A Fresh Incident 
 交渉|Negotiations 
 ロイグの病|Loeg's Illness 
 異郷の光|A Strange Land's Light 
 孤高の覚者|The Lone Arisen
 彷徨えし力|Straying Power 
 託されし者|The Entrusted One
 新大陸|A New Continent
 失われた故郷|The Lost Hometown
 戦士の集落|The Village of Soldiers
 帰郷|Homecoming 
 勇敢なる足跡|Gallant Footsteps
 心の闇|The Darkness of the Heart
 精霊の地|The Spirit Land
 侵された樹内|Within the Tree
 復活の条件|Restoration Requirements 
 理と絆|Reason and Bonds 
 新しい世代|The New Generation 
 絶望の大陸|The Land of Despair
 希望を求めて|In Search of Hope
 老将メイロワ|Meirova the Veteran General
 王子の行方|The Prince's Whereabouts 
 生き残りし村|Survivors Village
 相反せし者たち|The Opposition 
 王子ネド|Prince Nedo
 王家の秘蹟|The Royal Family Sacrament 
 迫り来る魔軍|The Approaching Demon Army 
 絶望の予告|Portent of Despair 
 陽動作戦|Diversionary Tactics 
 秘密の入り口|The Secret Entrance
 決死の潜入|A Desperate Infiltration 
 展望城の戦い|The Battle of Lookout Castle 
 王都への路|The Road to the Royal Capital
 再結集|Rally the Troops 
 王都進攻|Attack on the Royal Capital
 滅びの予兆|An Omen of Destruction 
 ひとときの竜力|A Brief Dragon Force 
 展望城の窮地|The Plight of Lookout Castle 
 王都の決戦|The Final Battle of the Royal Capital
 消えた王子|The Missing Prince 
 ネドの足取り|Nedo's Trail 
 王家の墓|The Royal Family Mausoleum 
 恐ろしき道|The Dreadful Passage 
 初代王の遺品|The Relics of the First King 
 望みの果て|Hope's Bitter End
 竜を継ぐ者|Those Who Follow the Dragon
 理の崩壊|Breakdown of Reason
 紡ぎし望み|Spun Together Hope 
 白竜の覚者|The White Dragon's Arisen
 すべての行く末|The Fate of All
 ニガい思い出の味|Taste of Bitter Memories 
 ティネス砦の食糧を調達する２|Thines Fort
 絶望の料理番“キャリー”|"The Despairing Cook ""Carrie"" "
 食料調達への道|Path to Food Procurement 
 キャリーの心配|Carrie's Worry 
 大食堂復旧への第一歩　―調理場―|First Step to Restoring the Great Dining Hall Kitchen 
 大食堂復旧への第二歩　―釜戸―|Second Step to Restoring the Great Dining Hall Cook Stove 
 大食堂復旧への第三歩　―井戸―|Third Step to Restoring the Great Dining Hall Water Well
 大食堂復旧への第四歩　―酒樽―|Fourth Step to Restoring the Great Dining Hall Wine Barrel
 大食堂復活の兆し|Signs of Restoring the Great Dining Hall 
 ピレモスに食糧を―《甘口》|"""Sweet"" Food for Piremoth"
 腹ペコのゴブリン|Hungry Goblin
 ピレモスに食料を―|Food for Piremoth
 追跡の果てに―|To the End of the Pursuit
 盗賊団のアジトに食糧を―《甘口》|"""Sweet"" Food for the Bandit Group Hideout"
 水辺にはご用心？|Beware the Waterside?
 盗賊団のアジトに食料を―|Food for the Bandit Group Hideout
 “幻の食材”を追って―|"Chasing after the ""Phantom Ingredient"" "
 さらば腹ペコ|Farewell Hungry
 完全復活！ティネス砦大食堂|Complete Restoration! Fort Thines Great Dining Hall
 【ブラッド編】木材調達の協力依頼|Brad Part: Request for Wood Procurement Cooperation
 【ローナ編】食料調達の協力依頼|Lorna Part: Request for Food Procurement Cooperation 
 【ヘザー編】行方不明のヘザー捜索依頼|Heather Part: Search Request for the Missing Heather 
 【スニーカー編】魔物討伐の協力依頼|Sunika Part: Request for Demon Subjugation Cooperation 
 【アイダン編】行方不明のアイダン捜索依頼|Aidan Part: Search Request for the Missing Aidan 
 【キャリー編】“ゴブリン一家”討伐の協力依頼|"Carrie Part: Request for ""Goblin Family"" Cooperation "
 第一防衛区画に潜入せよ|Infiltrate the First Defense Area
 兵舎と集会場を攻略せよ|Capture the Barracks and the Meeting Spot
 奪還！　第一の門|Recapture! First Gate
 第二防衛区画に潜入せよ|Infiltrate the Second Defense Area 
 隔離兵舎を攻略せよ|Capture the Isolation Barracks 
 大演習場を攻略せよ|Capture the Large Training Area
 奪還！　第二の門|Recapture! Second Gate 
 第一防衛区画から捕虜を救出せよ|Rescue Prisoners from the First Defense Area 
 第二防衛区画から捕虜を救出せよ|Rescue Prisoners from the Second Defense Area
 ソネルの記憶奪還作戦|Sonel's Memory Recovery Strategy 
 ボクにはあの杖がいる|I Need That Staff
 古井戸の地図を探して――|Searching for a Map of the Old Well... 
 やっぱりこれはボクの杖じゃない|After All, This Is Not My Staff
 とっておきの作戦|The Best Strategy
 今度こそとっておきの作戦|The Best Strategy, This Time!
 奪還を終えて――|Finish the Recapture 
 【尋問】尋問の腕慣らし|Interrogation: Skill Warm-Up 
 【尋問】怪しい無頼漢|Interrogation: Suspicious Vagabond 
 【潜入調査】潜入の腕慣らし|Undercover: Skill Warm-Up
 【潜入調査】邂逅の憲兵隊|Undercover: Military Police Encounter
 【潜入調査】既知との遭遇|Undercover: Encounter with the Already Known 
 【諜報活動】諜報の腕慣らし|Intelligence Assessment: Skill Warm-Up 
 【諜報活動】闇夜覆うメガド|Intelligence Assessment: Dark Night Covering Megado
 【尋問】囚われのオーク|Interrogation: Captive Orc 
 【尋問】鍵握る悪鬼|Interrogation: Fiend Grasping a Key
 【潜入調査】疑惑のエニス|Undercover: Suspicious Ennis 
 【潜入調査】決定的な交戦|Undercover: Final Battle 
 【潜入調査】レジスタンス狩り|Undercover: Resistance Hunt
 【諜報活動】反旗翻す者たち|Intelligence Assessment: People Rising in Revolt 
 嵐の前の静けさ|Calm Before the Storm
 闇裂く者たち|Those That Cut through the Darkness
 闘争は夢の跡|The Battle Fades Like a Dream
 Bランク　指定討伐：ハイデル平原|B Rank Target Subjugation: Hidell Plains 
 Aランク　指定討伐：ハイデル平原|A Rank Target Subjugation: Hidell Plains 
 Sランク　指定討伐：ハイデル平原|S Rank Target Subjugation: Hidell Plains 
 Bランク　指定討伐：ディナン深層林|B Rank Target Subjugation: Deenan Woods
 Aランク　指定討伐：ディナン深層林|A Rank Target Subjugation: Deenan Woods
 Sランク　指定討伐：ディナン深層林|S Rank Target Subjugation: Deenan Woods
 Bランク　指定討伐：ミスリウ森林|B Rank Target Subjugation: Mysree Forest 
