key,old,new
CLAN_STATUS_MSG_MASTER,クランマスター,Master
CLAN_STATUS_MSG_MEMBER,メンバー,Members
CLAN_STATUS_MSG_ATIME,活動時間帯,Time active
CLAN_STATUS_MSG_STYLE,クランの特徴,Style
CLAN_STATUS_MSG_STATUS,ステータス,Status
CLAN_STATUS_MSG_NAME,名前,Name
CLAN_STATUS_MSG_JOB,ジョブレベル,Job Level
CLAN_STATUS_MSG_LOBBY,ワールド,World
CLAN_STATUS_MSG_DATE,クラン加入日,Join Date
CLAN_STATUS_DATE,<DATE>,
CLAN_STATUS_PR,紹介メッセージ,Introduction
CLAN_STATUS_BBS,伝言メモ,Message
CLAN_STATUS_MOTTO,モットー,Motto
CLAN_STATUS_SHORT_NAME,<NAME CLAN_S>,
CLAN_STATUS_MSG_PARTY,パーティ,Party
CLAN_STATUS_MSG_GUIDE_SWITCH,表示切り替え,Switch Display
CLAN_STATUS_MSG_COMMENT,コメント,Comment
CLAN_STATUS_MSG_DATE_FOUND,設立日,Founded
CLAN_STATUS_MSG_TOP_JP,クランステータス,Clan Status
CLAN_STATUS_MSG_TOP_EN,Clan Status,
CLAN_STATUS_MEMBER_NUM,<VAL>名,<VAL>
CLAN_STATUS_MSG_GUIDE_EDIT,クランステータスの編集,Edit Status
CLAN_STATUS_MSG_DATE_LAST_LOGIN,最終ログイン日,Last Login Date
CLAN_STATUS_MSG_GUIDE_CHECK_CLANAP,累計ポイントの確認,Check Total Points
CLAN_STATUS_MSG_NOT_AFFILIATION_CLAN,クランに加入していません,Not currently in the clan.
CLAN_STATUS_MSG_MONEY_CP,通貨CP,CP
CLAN_STATUS_MSG_HISTORY_TAB,ヒストリー,History
CLAN_STATUS_MSG_HISTORY_CAPTION,ヒストリー,History
CLAN_STATUS_MSG_HISTORY_ITEM_0,ヒストリーがありません,There is no history
CLAN_STATUS_MSG_HISTORY_ITEM_1,%s が %s を購入しました(-%d%s),%s purchased %s (-%d%s)
CLAN_STATUS_MSG_HISTORY_ITEM_2,クランレベルが %d になりました,Clan level is now %d
CLAN_STATUS_MSG_HISTORY_ITEM_3,%s が加入しました,%s has joined
CLAN_STATUS_MSG_HISTORY_ITEM_4,%s が脱退しました,%s has left
CLAN_STATUS_MSG_HISTORY_ITEM_5,%s がクランマスターになりました,%s has become clan master
