key,old,new
sys_announce_controllernotconnect,<PFWD 0>が接続されていません,<PFWD 0> is not currently connected.
sys_announce_check_strage,ハードディスクドライブの容量をチェックしています,Checking HDD capacity.
sys_announce_notenoughstorage,"ハードディスクドライブの空き容量が不足しています
ゲームを開始するためには
<VAL 0> 以上の空き容量が必要です
ゲームを終了して空き容量を確保してください","Insufficient free space on the HDD.
In order to start the game,
more than <VAL 0> is required.
Please exit the game and free the space necessary."
sys_announce_trophy,,
sys_announce_newsave,"新規にセーブデータを作成しています
PCの電源を切らないでください","Creating new save data.
Do not turn off the PC."
sys_announce_savedata_broken,"セーブデータが破損しています
セーブデータを破棄して
新規に作成しますか？","Save data is corrupted
and will be discarded.
Do you want to create a new save?"
sys_announce_ps3_loadfail,"セーブデータをロードできませんでした
セーブデータを破棄して
新規に作成しますか？","Save data could not be loaded,
and will be discarded.
Do you want to create a new save?"
sys_announce_notuse_anothersave,"他のユーザーのセーブデータを
使用することはできません
セーブデータを破棄して
新規に作成します","Other user's save data
cannot be used and will be discarded.
Please create a new save."
sys_announce_goto_launcher,"セーブデータを準備できませんでした
ランチャーへ戻ります","Could not create save data.
Exiting to the launcher."
sys_announce_failedsave,セーブデータの保存に失敗しました,Failed to save.
sys_announce_checkingsave,"セーブデータをチェックしています
PCの電源を切らないでください","Checking save data.
Please do not turn off your PC."
sys_announce_check_strage_fail,"ハードディスクドライブ容量の
チェックに失敗しました
ランチャーへ戻ります","Checking HDD capacity failed.
Exiting to the launcher."
sys_announce_trophy_fail,"トロフィーデータの準備に失敗しました
ランチャーへ戻ります","Failed to create trophy data.
Exiting to the launcher."
sys_announce_firstoption,"操作デバイスを選択してください
※この項目はデバイス設定からいつでも変更できます","Please select the input device.
※ This selection can be changed at any time from the settings menu."
sys_announce_choice_pad,<PFWD 0>,
sys_announce_choice_mouse,マウス・キーボード,Mouse/Keyboard
sys_announce_calibration,"<PFWD 0>のボタン配置を初期化しました
ボタン配置の確認後
必要であれば配置変更を行ってください","Initialized inputs from <PFWD 0>.
After checking the button layout, you may change the
button placement if necessary."
sys_announce_saving,設定を保存します,Save settings
sys_announce_exit,Dragon's Dogma Online を終了しますか？,Are you sure you want to exit Dragon's Dogma Online?
sys_announce_connecting,サーバーと通信中です,Connecting to server.
sys_announce_firstoption_uisize,"UIの表示設定を選択してください
(解像度1600×900 以上で有効になります)","Please select the UI display setting.
(Available when resolution is 1600×900 or greater)"
sys_announce_choice_uilarge,UIを拡大表示する,Enlarge UI
sys_announce_choice_uinormal,UIを拡大表示しない,Do not enlarge UI
sys_announce_firstoption_uisize_check,"UIの表示サイズはこれでよろしいですか？
※この項目はデバイス設定からいつでも変更できます","Are you sure you want this UI display size?
※ This selection can be changed at any time from the settings menu."
