"key","old","new"
"CYCLE_QUEST_INFO_58","霧の森の死闘","The Deathly Battle of the Forest of Mist"
"CYCLE_QUEST_INFO_58ex1","霧の森に突如、闇の軍勢が出現した
内部は複数のルートに分かれており
征圧ポイントが点在している
敵軍による突然の襲撃が予想されており
慌ただしく変化する戦況を見定めながら
戦い抜かねばならない","Suddenly, a dark army appeared in the Forest of Mist. The interior is divided into multiple routes, with various conquer points scattered throughout. A sudden attack by the enemy forces is anticipated, and we must fight through the rapidly changing battlefield while assessing the situation."
"CYCLE_QUEST_INFO_58ex2","ミッションに参加する場合は
メガドにいるアッバスより
詳細を確認せよ","If you are participating in the mission, please confirm the details from Abbas at Megado."
"CYCLE_QUEST_INFO_59","本作戦進行中","Mission in Progress"
"CYCLE_QUEST_INFO_59ex1","霧の森に突如、闇の軍勢が出現した
内部は複数のルートに分かれており
征圧ポイントが点在している
敵軍による突然の襲撃が予想されており
慌ただしく変化する戦況を見定めながら
戦い抜かねばならない","Suddenly, a dark army appeared in the Forest of Mist. The interior is divided into multiple routes, with various conquer points scattered throughout. A sudden attack by the enemy forces is anticipated, and we must fight through the rapidly changing battlefield while assessing the situation."
"CYCLE_QUEST_INFO_59ex2","霧の森に突如、闇の軍勢が出現した
内部は複数のルートに分かれており
征圧ポイントが点在している
敵軍による突然の襲撃が予想されており
慌ただしく変化する戦況を見定めながら
戦い抜かねばならない","Suddenly, a dark army appeared in the Forest of Mist. The interior is divided into multiple routes, with various conquer points scattered throughout. A sudden attack by the enemy forces is anticipated, and we must fight through the rapidly changing battlefield while assessing the situation."
"CYCLE_QUEST_INFO_60","ランキング期間","Ranking period"
"CYCLE_QUEST_INFO_60ex1","霧の森でのウォーミッションは終了した
各々の戦果については追って報告があるので
それまでは待機とする","The war missions in the Forest of Mist have ended. Reports on each individual battle achievement will be provided shortly. Until then, please remain on standby."
"CYCLE_QUEST_INFO_60ex2","霧の森でのウォーミッションは終了した
各々の戦果については追って報告があるので
それまでは待機とする","The war missions in the Forest of Mist have ended. Reports on each individual battle achievement will be provided shortly. Until then, please remain on standby."
"","戦果報酬配分中","War Result Reward Distribution"
"","メガドにいるアッバスより、各個人の戦果に
伴う報酬を受け取ることが出来る
特別な報酬には受け取るための条件や上限数が
あるため、貢献具合に応じた品物を選ぶように","From Abbas in Megado, you can receive rewards that correspond to individual achievements. There are conditions and limits to receiving special rewards, so choose items based on your level of contribution."
"","メガドにいるアッバスより、各個人の戦果に
伴う報酬を受け取ることが出来る
特別な報酬には受け取るための条件や上限数が
あるため、貢献具合に応じた品物を選ぶように","From Abbas in Megado, you can receive rewards that correspond to individual achievements. There are conditions and limits to receiving special rewards, so choose items based on your level of contribution."
