"old","new"
"覚者様、黒呪の迷宮へようこそ
ここは元いた場所とは隔絶された世界
――わたしはこの迷宮の案内人
何か、ご用はありますか？","Welcome to Bitterblack Maze, Arisen. This is a world isolated from where you once were ――I am the guide of this maze. Do you have any business here?"
"覚者様、呪われし迷宮へようこそ
わたしはこの迷宮の案内人","Arisen, welcome to the cursed Bitterblack Maze. I am the guide of this labyrinth."
"本来は交わることのない世界の交錯により
姿を現してしまった迷宮","This maze appeared as a result of the collision of worlds that should never have intersected."
"この先にある入口がどこへと続くのかは
わたしにもわかりません","I also don't know where the entrance ahead leads to."
"入り江に響くのは数えきれない魔物たちの声
そして覚者たちの叫び――","The wind is blowing—This is a tailwind—oh, I can feel it."
"仲間と共に挑むか、戦徒を従え進むか
全てはあなた次第です","While dealing with the enemy's offensive, we must also explore the ways to defeat the ""Evil Dragon."" In the face of the enemy's offensive, it is necessary to not only deal with it but also explore ways to defeat the ""Evil Dragon."""
"わたしはこの場所で、できる限りの
手助けをいたしましょう","I will provide as much assistance as possible in this place."
"姿形は違えど、あなたはあなた――
その存在に違いはございません
ただ、今までの全てを
置き去りにした状態であるだけです","Although the appearance may be different, you are still you - There is no difference in your existence. You are just in a state where you have left behind everything that has come before."
"この《黒呪の迷宮》は生きる島
島の蠢きにより強力な宝物が生み出されます
覚者様のお目に適う物があれば
わたしが協力いたしましょう","This ""Bitterblack Maze"" is a living island. Powerful treasures are created by the island's movements. If there is something suitable for the Arisen to see, I will assist you."
"物品の本来の姿を取り戻す《レアアイテムの鑑定》
そして特定の効果を封じる《黒呪装具の効果封印》
どちらもわたしに心得がございます","Unlocking the true form of an item with Rare Item Appraisal, and sealing specific effects with Bitterblack Equipment Effect Seal. I am knowledgeable in both."
"どうぞご随意に――","Please feel free to help yourself――"
"この地で見つけた品を
レスタニアに持ち帰るには
《黒呪アイテムの持ち帰り》での選択が必要です
何を持ち帰るか、慎重にご判断ください","To bring items found here back to Lestania, you will need to make a selection at ""Bitterblack Item Takeaway"".
Please be judicious in what you bring back!"
"白竜様よりお預かりした加護――
三たび、あなたが立ち上がるための
《復活力》としてお渡しいたします","From the White Dragon, I have received a blessing—
For the third time, I shall bestow upon you
the power of revival to rise once again."
"覚者様――申し訳ございません
すでに本日の《復活力》の加護を受けられています
加護を受けられるのは１日に１度だけなのです","Master Arisen, I apologize.
You have already received today's blessing of ""Revival Power"".
You can only receive the blessing once a day."
"――覚者様は《復活力》の加護で
満たされていらっしゃいます
今、新たな復活力は必要ないかと","— You, Arisen, are currently filled with the blessing of ""Revival Force"". Do you need more revival power right now?"
"まだいくらかの《復活力》の加護が
覚者様を守っているようです
今ある復活力を捨て、新たなものを
必要とされていますか？","It seems that there's still some ""Revival Force"" protecting you, Arisen. Are you willing to discard the existing revival force and seek a new one if needed?"
"はい","Yes"
"いいえ","No"
"全てはあなた次第
暗き道を切り開かれますよう――","It's all up to you. May you make your way through the dark."
