"old",""
"君に一番フィットするスタイルは――
あァ、悩ましい！
可能性が多すぎる！","What style fits you the best— Ah, it's so perplexing! There are too many possibilities!"
"髪型からメイク、もっといろんなところまで
ボクの店では豊富なメニューを揃えてるよ
フフ、気になるかい――？","From hairstyle to makeup, and even more, We have a wide range of menus in my shop. Hehe, are you interested—?"
"人の好みは十人十色
きっと君にピッタリのスタイルがあるはずさ","People have different preferences.
There must be a style that suits you perfectly!"
"オーケイ！　素敵に変身したいのは誰だい？
容姿のスタイリングは<COL b92828><UNTN GS></COL> <VAL PRICE_PARLOR_GP>を頂くよ
声やポーンの口調、発言頻度の変更はサービスさ！
好きにチェンジしていくといいよ","Okay!   Who wants a makeover?
We'll take on your styling for<COL b92828><UNTN GS></COL> <VAL PRICE_PARLOR_GP>
We'll change your voice, pawn tone, and frequency of speech as a service!
You can change it up as you like!"
"やぁ、来てくれて嬉しいよ
今日はどうなりたいか言ってごらん
ボクが素敵に変身させてあげるからさ――","Hey, I'm glad you're here.
Tell me what you want to become today.
I'll transform you into something amazing――"
"オーケイ！　素敵に変身したいのは誰だい？
容姿のスタイリングは<COL b92828><UNTN GS></COL> <VAL PRICE_PARLOR_GP>を頂くよ
今なら<COL b92828><UNTN TK></COL> <VAL PRICE_PARLOR_TK>でも支払いＯＫだよ！
声やポーンの口調、発言頻度の変更はサービスさ！
好きにチェンジしていくといいよ","Okay!　Who wants a nice makeover?
I'll take<COL b92828><UNTN GS></COL> <VAL PRICE_PARLOR_GP>for appearance styling.
You can also pay for<COL b92828><UNTN TK></COL> <VAL PRICE_PARLOR_TK>now!
We'll change your voice, pawn tone, and frequency of speech as a service!
You can change it up as you like!"
"おや？　君はメインポーンと契約してないみたいだ
まずはリムストーンを集めて
白竜さまのところへいかないとね","Oh? It seems you haven't made a contract with a main pawn yet. First, gather some Riftstone, and then head to the White Dragon's place."
"一度契約したポーンを生まれ変わらせたいなら
その時はボクが全力でサポートするからさ","If you want to transform the pawn you once contracted with,
I will support you with all my might."
"さあ、生まれ変わりたいのは誰だい？
<COL b92828><UNTN GS></COL> <VAL PRICE_REBORN_GP>を頂くけど
きっと満足させてみせるよ！","Who wants to be born again?
I'll take<COL b92828><UNTN GS></COL> <VAL PRICE_REBORN_GP> but I'm sure I'll satisfy you!"
"さあ、生まれ変わりたいのは誰だい？
ボクが全力でリボーンさせてあげよう――
お代は<COL b92828><UNTN GS></COL> <VAL PRICE_REBORN_GP>を頂くよ
今なら<COL b92828><UNTN TK></COL> <VAL PRICE_REBORN_TK>でも支払いＯＫだよ！","Now, who wants to be reborn? I'll fully revitalize you and bring you into a new life— The fee is <COL b92828><UNTN GS></COL> <VAL PRICE_REBORN_GP>. If you pay now, <COL b92828><UNTN TK></COL> <VAL PRICE_REBORN_TK> is also acceptable!"
"おや、<COL b92828>男性か女性専用のアイテム</COL>を
装備しているから、生まれ変わることはできないかな
専用の装備をはずして、またおいでよ","Oh, I wonder if you can't be reborn because you're equipped with <COL b92828>a male or female exclusive item</COL>. Please take off the exclusive equipment and come again."
