old,
"おお！！　黄金竜討伐の重要任務
お疲れ様でございます！
保管ボックスに報酬が納められております
どうぞお受け取りを！","Oh!　Thank you for your hard work on the important mission to defeat the Golden Dragon

The reward has been delivered to your storage box.
Please accept it!"
"そういえば！
覚者殿に、黄金竜討伐任務の戦果に対して
特別報酬が出ております！","By the way!
Lord Arisen, for your achievements in the Golden Dragon defeat mission
special rewards have been prepared!"
"こちらがその、秘伝のアビリティだそうです！
どうぞお受け取りを！","Here is the secret ability!
Please receive it!"
"今回の任務、お疲れ様でございます！
報酬はもうお受け取りになられた
ようですね。次回もぜひ――！","Thank you for your efforts in this mission!
It seems you have already received the rewards.
Please do your best next time!"
自分、どんな任務でも頑張ります！,I will do my best no matter what task it might be!
神殿と白竜様のためなら命を賭ける覚悟です！,I am prepared to risk my life for the temple and the White Dragon-sama!
自分はこの《謎の礎》の守番なのです,I am the guardian of this Mysterious Keystone.
"これは、神殿がこの地にできる前からすでに
あったものだと言われておりますが
正確なところは分かっておりません","It is said that this was already
in existence before the temple was built here, but
we do not know exactly what it is!"
"ただ、必ず白騎団か覚者隊のものが
目を離さず番をしておかなければならぬと
言われているそうです","However, it is said that the White Riders or the Arisen Corps must
keep an eye on
"
"覚者殿、しかしあなたはどうやら他の
重要ミッションを受けておられるようです
現在参加予定のミッションを終了するか
辞退された方がよろしいかと――","Dear Sensei, but it seems you are on another
important mission
and you may want to finish or
decline the mission you are currently on--"
"覚者殿、現在入っている情報によりますと
かの黄金竜は礎の先から姿を消している様子
次の討伐隊派遣まで、もうしばらくお待ちください","Arisen, according to the current information available
, it seems that the Golden Dragon has disappeared from the foundation. Please wait a little longer until the next dispatch of the extermination team
."
"ああ、覚者さま！
なんとか此度の危機を乗り切ったようです
――聞くところによると、大戦果をおさめた方は
かなりの報酬がでるとか。ぜひ覚者殿も、次回は！","Oh, Arisen!
It seems that you managed to overcome this danger.
-- I hear that great rewards await those who achieve great success in battle.
Best of luck next time, Arisen!"
ハイ、自分に用ですか,"Yes, do you need me for something?"
