key,old,new
RANKING_MSG_TITLE_EN,Ranking Board,Ranking Board
RANKING_MSG_NAME,名前,Name
RANKING_MSG_CLAN,クラン,Clan
RANKING_MSG_POINT,スコア,Score
RANKING_MSG_RANK,位,Rank
RANKING_MSG_PERIOD,開催期間：<DATE> ～ <DATE>,Held: <DATE> ～ <DATE>
RANKING_MSG_UPDATE,集計日：<DATE>,Tallied: <DATE>
RANKING_MSG_DIAROG_NONE,集計していません,No tally
RANKING_MSG_ANNOUNCE_STARTED,"ランキング集計を開始しました。
※途中経過は新聞にて告知されます。","The ranking tally has started.
*Progress will be announced in the newspaper."
RANKING_MSG_BUTTON_SHOW_MYSELF,自分の順位を表示,Your Ranking
RANKING_MSG_BUTTON_BACK,通常ランキングに戻る,Normal Rankings
RANKING_MSG_NOENTRY,このコンテンツには未参加です。,This content has not been participated in.
RANKING_MSG_NOCONTENTS,現在表示可能なコンテンツはありません。,No content currently available for display.
RANKING_MSG_NORANKING,現在表示可能なランキングはありません。,There are currently no rankings available for display.
RANKING_MSG_JOINING,参加中,Now participating
RANKING_MSG_TITLE_JP,ランキングボード,Ranking Board
RANKING_MSG_TITLE2_JP,ランキング,Ranking
RANKING_MSG_TITLE2_EN,Ranking,Ranking
RANKING_MSG_VAL,<VAL>,<VAL>
RANKING_MSG_DATE_PERIOD,<DATE> ～ <DATE>,<DATE> ～ <DATE>
RANKING_MSG_HOLDING,開催中,Currently being held
RANKING_MSG_END,終了,Ended
RANKING_MSG_ALL,全て,All
RANKING_MSG_CLAN_JP,クラン,Clan
RANKING_MSG_RANKS,<VAL>位,Rank <VAL>
RANKING_MSG_STATE_PREPARATION,開戦準備中,War Preparation
RANKING_MSG_STATE_RANKING,戦果分析中,War Result Analysis
RANKING_MSG_STATE_RECEIVING,報酬配分中,Reward Claim
RANKING_MSG_STATE_NOPARTIN,開催中,No participation
RANKING_MSG_DP_NAME_ACC,ウォーミッション累積<UNIT PT>,Cumulative War Mission <UNIT PT>
RANKING_MSG_STATE_RECEIVING_WM,ランキング確定,Ranking Confirmed
