old,new
デバッグするか？,
尋問する,
デバッグする,
どっちのモーションを見る？,
680 メフィス,
682 ドワーフオーク,
連携テスト,
【戻る】,
どのモーションを見る？,
000 ナイトウォーカー待機LOOP,
001 おかず おかず１,
002 おかず おかず２,
003 尋問対象に語りかける,
005 脅す A,
006 脅す B,
007 脅す C,
010 突きつける（荒）開始～LOOP,
011 LOOPからの戻り,
012 突きつける（静）開始～LOOP,
013 LOOPからの戻り,
015 PL側を向く～選択待ち待機LOOP,
016 うなずく,
017 首を振る,
018 会話,
019 イライラ開始～LOOP,
020 イライラ終了,
022 LOOPからの戻り,
025 PLの視点を変える（尋問失敗）,
026 突きつける（荒）開始～LOOP,
027 LOOPからの戻り,
028 突きつける（静）開始～LOOP,
029 LOOPからの戻り,
【戻る】,
ドノ「もーしょん」ヲミル？,
000 通常座り：待機,
001 座通常り：会話,
002 通常座り：うなずく,
003 通常座り：びっくり,
004 通常座り：嫌々,
005 通常座り：図星,
006 通常座り：ムカムカ,
009 通常座り　→　座りピンチ,
010 ピンチ座り：待機,
011 ピンチ座り：会話,
012 ピンチ座り：うなずく,
013 ピンチ座り：びっくり,
014 ピンチ座り：嫌々,
015 ピンチ座り：図星,
016 ピンチ座り：ムカムカ,
017 ピンチ座り:自白移行,
020 気絶,
【戻る】,
"今まで何度も尋問は行ってきたが
さすがにオークは初めてだぜ",
"とはいえ――やり方は今までと同じだ
今さら説明はいらないな？",
"それじゃ、早速始めるか
手始めに基本的な《話題》から聞いてみよう",
Ａ、メガドに来た目的,A: Purpose of coming to Megado
Ｂ、オーク自身について,B: About Orc itself
《証拠》を確認する,"Review ""Evidence"""
――今日はやめる,...Stop for today
"裏切り者と思わしき人間とオークが共に居た
――これだけで限りなく決定的に近い
状況ではあるが、一応聞いてやる",
一体あの場所で何をしていた？,
何ヲシテイタカ？,
"フン――愚カナ人間メ
アノ死ンダ人間ニデモ、聞イテミロ！",
"おーくガ、人間ニ協力スルコトナド
火山ガ噴火シヨウガ、アリエナイ！",
"チッ――当然だが
簡単に答えてはくれないか",
"やはり、まずは証拠を手に入れてから
糸口を見つけていくしかないようだな――",
"覚者、現場は調べてみたか？
証拠を見つけられるとしたら
最も可能性が高いのはあの場所だ",
"もしまだ調べていないのなら
まずはこの事件が発生した現場を調べてみよう",
"おいおい――怖気づいたのか？
始まったばかりだぞ",
"ゲハハッ！　俺ガ怖イノカ？
オ前、本当ニアノ覚者カ？",
"ほら、オークにまで言われてるぞ
悔しくないのか？",
"ここで安全に尋問できる時間は限られている――
出来る時に出来ることをやっておこう",
お前自身のことを聞かせてもらおうか,
"俺ノコトダト？
フン――貴様ラ人間ニ、関係アルノカ？",
それは、聞いてから俺たちが決めることだ,
いつ頃からオーク軍に所属しているんだ？,
"フン――貴様ラノ間抜ケナ王子ヲ
捻リ潰ス、ズット前カラサ",
"残念だったな、ネド王子は
貴様らオークを出し抜いてご健在なんだ",
"――ウガァァ！
今、生キテイヨウガ、死ンデイヨウガ
ソレハ小サナ違イダ！",
"勝ツノハ、俺タチ！
人間ナド皆殺シダ！",
"そうかそうか――ところで、さっきより
ずいぶんと饒舌になったな？",
逃げるのも諦めて観念したのか？,
"観念ダト？　馬鹿メ！
おーくハ、絶対ニ！　人間ナドニ屈シナイ！",
"ソシテ、今ニ貴様ラハ
後悔スルコトニナルダロウ！",
"おーくノ軍ハ、スグニチカラヲ溜メテ戻ッテクル
ソシテ俺ヲ助ケ出シ、チッポケナ人間ドモヲ
マタ奴隷ニスルノダ",
――随分と自信たっぷりだな,
フン――命乞イシテモ遅イ,
"かなり自信満々のようだが――
オーク1匹を助けるために満身創痍の
オーク軍が来ると、本当に思うか？",
"オーク軍の情報を引き出すには
この鼻っ柱をへし折ってやるか――",
"あるいは、口を滑らしてしまうような
上機嫌にさせる《証拠》があると良いんだが――",
"フゥ――なるほど
オークとまともに対話するのは初めてだが
やはりスムーズにはいかないな",
"しかも――どうやらコイツ
長い事オーク軍にいたらしいが",
"今まで戦死もせず、出世も
できていないところを見ると
口だけは立派な雑魚オークのようだな",
――――！！,
"おい覚者、コイツどうしようか
始末するか？",
"ウガァァァァァ！！
人間メ――コレ以上ノ侮辱ハ、許サンゾ！",
"なんだ、気に障ったか？
だが事実だろう",
"ウガァァァァ！！
伝令兵ハ生キ残リ
手紙ヲ届ケルコトガ仕事ダ！",
"生キ長ラエ、軍ニ貢献シ続ケルコト
優秀デアル証ナノダ！
無知ナ人間メ、捻リ潰シテヤル！",
"ほう――思いがけず重要な情報を
二つ得られたな",
"一つ目――どうやらオークはあえて怒らせたり
おだてたりするとよく喋るようだな
これからの尋問に役立ちそうだ",
"それからもう一つ――
このオークは伝令兵として
メガドまではるばる文書を届けに来たんだ",
"となると
<COL ff2600>届けに来たオークの文書が
事件現場のどこかにまだある可能性が高い</COL>",
"覚者、まずはそれを足がかりとして
諜報活動を始めていこう",
"来たな
さぁ、今日も始めようか",
本当に、今日の尋問はこれで終了にしていいんだな？,
はい,Yes
いいえ,No
――今日はこのくらいにしてやるか,
"――ゲハハハッ！
愚カナ人間、頭オカシクナッタカ",
"――その《証拠》を突きつけるのは
ここではなさそうだな",
"脅してさらなる情報を引き出したり
諜報で新たな《証拠》を探すのもいい
――もう一度よく考えてみるんだ",
"――本当にそう思うか？
もう一度、よく考え直してみたらどうだ？",
"――グハハ！　愚カナ人間メ！
恐怖デ、頭オカシクナッタカ",
"チッ、オークに舐められちまったみたいだな
――二度目はしっかりな？",
手始めに、基本的なことでも聞いてみるか,
Ａ、メガドに来た目的,A: Purpose of coming to Megado
Ｂ、オーク自身について,B: About Orc itself
《証拠》を確認する,"Review ""Evidence"""
――今日はやめる,...Stop for today
"良い調子だな――
さて、何を聞く？",
Ａ、メガドに来た目的,A: Purpose of coming to Megado
Ｂ、オーク自身について,B: About Orc itself
Ｃ、メガド占領中の様子,C: State of Megado occupation
《証拠》を確認する,"Review ""Evidence"""
――今日はやめる,...Stop for today
さぁ、何を聞こうか？,
Ａ、メガドに来た目的,A: Purpose of coming to Megado
Ｂ、オーク自身について,B: About Orc itself
Ｅ、悪事の証拠,E: Evidence of crimes
《証拠》を確認する,"Review ""Evidence"""
――今日はやめる,...Stop for today
"良い調子だな――
さて、何を聞く？",
Ａ、メガドに来た目的,A: Purpose of coming to Megado
Ｂ、オーク自身について,B: About Orc itself
Ｃ、メガド占領中の様子,C: State of Megado occupation
Ｄ、<NPC 681>とオークの癒着,D: <NPC 681> in collusion with Orcs
《証拠》を確認する,"Review ""Evidence"""
――今日はやめる,...Stop for today
"良い調子だな――
さて、何を聞く？",
Ａ、メガドに来た目的,A: Purpose of coming to Megado
Ｂ、オーク自身について,B: About Orc itself
Ｃ、メガド占領中の様子,C: State of Megado occupation
Ｅ、悪事の証拠,E: Evidence of crimes
《証拠》を確認する,"Review ""Evidence"""
――今日はやめる,...Stop for today
"あと一歩だな――
よし、頼むぞ",
Ａ、メガドに来た目的,A: Purpose of coming to Megado
Ｂ、オーク自身について,B: About Orc itself
Ｃ、メガド占領中の様子,C: State of Megado occupation
Ｄ、<NPC 681>とオークの癒着,D: <NPC 681> in collusion with Orcs
Ｅ、悪事の証拠,E: Evidence of crimes
