#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex
0,,はぁい、あたしに何か用？,,ui\00_message\npc\base\n1012.gmd,\npc\n1012.arc,n1012.arc,3
0,,"いらっしゃーい！
さぁ、今日は何にする？",,ui\00_message\npc\base\n1012.gmd,\npc\n1012.arc,n1012.arc,4
0,,"この世が滅ぶ、なんて
あたしは信じないんだから！",,ui\00_message\npc\base\n1012.gmd,\npc\n1012.arc,n1012.arc,5
0,,"覚者さんたちも、騎士さんたちもいる
レスタニアは白竜さまの国なのよ！
大丈夫に決まってるわ！",,ui\00_message\npc\base\n1012.gmd,\npc\n1012.arc,n1012.arc,6
0,,"都合の悪いものは
見ない主義なの、あたし",,ui\00_message\npc\base\n1012.gmd,\npc\n1012.arc,n1012.arc,7
0,,"魔物の出現や事件は、この頃増える一方です
でも、めげないでください覚者さま！
応援してますから！",,ui\00_message\npc\base\n1013.gmd,\npc\n1013.arc,n1013.arc,0
0,,覚者さま、今度、冒険譚を聞かせて下さいね,,ui\00_message\npc\base\n1013.gmd,\npc\n1013.arc,n1013.arc,1
0,,"今日も大陸のあちこちでは
いろいろな事が起こってるみたいですよ",,ui\00_message\npc\base\n1013.gmd,\npc\n1013.arc,n1013.arc,2
0,,"あら？　でも覚者さまはすでに他の
ミッションにエントリーされているみたいです
そちらを済ませるか、辞退されてから
あらためて申請してくださいね",,ui\00_message\npc\base\n1013.gmd,\npc\n1013.arc,n1013.arc,3
0,,本日のニュースをお届けしますね！,,ui\00_message\npc\base\n1013.gmd,\npc\n1013.arc,n1013.arc,4
0,,"あれから火球の話は届かないけど
もうそれどころじゃないよね",,ui\00_message\npc\base\n1013.gmd,\npc\n1013.arc,n1013.arc,5
0,,"あとは覚者さんたちに任せて、わたしは
いつもの仕事に戻るね",,ui\00_message\npc\base\n1013.gmd,\npc\n1013.arc,n1013.arc,6
0,,"覚者さま、納品ありがとうございます！
まだまだ受け付けていますので
どんどん持ってきてくださいね",,ui\00_message\npc\base\n1013.gmd,\npc\n1013.arc,n1013.arc,7
0,,"えっ――
忘れちゃったんですね！
《白竜祭》の奉納期間中に持ってきてくださいね ",,ui\00_message\npc\base\n1013.gmd,\npc\n1013.arc,n1013.arc,8
0,,"覚者さま、納品ありがとうございます！
みんなでレスタニアの豊穣を願う
《白竜祭》の奉納期間になりました",,ui\00_message\npc\base\n1013.gmd,\npc\n1013.arc,n1013.arc,9
0,,"白竜さまにお納めする品物を
どんどん持ってきてくださいね",,ui\00_message\npc\base\n1013.gmd,\npc\n1013.arc,n1013.arc,10
0,,見たい情報を選択してくださいね,,ui\00_message\npc\base\n1013.gmd,\npc\n1013.arc,n1013.arc,11
0,,個別納品報酬確認,,ui\00_message\npc\base\n1013.gmd,\npc\n1013.arc,n1013.arc,12
0,,ランキング報酬確認,,ui\00_message\npc\base\n1013.gmd,\npc\n1013.arc,n1013.arc,13
0,,"本日のニュースは
えぇっと――《滅びの渦》以外の
ニュースがいいですよね？",,ui\00_message\npc\base\n1013.gmd,\npc\n1013.arc,n1013.arc,14
0,,"みんな、今は《滅びの渦》のことしか
頭に無いみたいです
私も、ですけど――",,ui\00_message\npc\base\n1013.gmd,\npc\n1013.arc,n1013.arc,15
0,,"覚者さまほどの方になると
ああいったものを見ても
怖くはないのですか？",,ui\00_message\npc\base\n1013.gmd,\npc\n1013.arc,n1013.arc,16
0,,"ううん、レスタニアには
白竜さまのご加護があるから
大丈夫――大丈夫です",,ui\00_message\npc\base\n1013.gmd,\npc\n1013.arc,n1013.arc,17
0,,"覚者さま、その《クエストボード》にて
本日の任務、民の依頼をご確認ください",,ui\00_message\npc\base\n1014.gmd,\npc\n1014.arc,n1014.arc,0
0,,"達成すると、成果に応じた報酬が
依頼主より支払われますので
覚者さま自身の身支度に利用されるのも
良いかと思います",,ui\00_message\npc\base\n1014.gmd,\npc\n1014.arc,n1014.arc,1
0,,"《クエストボード》で受けた納品依頼の
対応には、併設の《納品ボックス》を
ご利用ください",,ui\00_message\npc\base\n1014.gmd,\npc\n1014.arc,n1014.arc,2
0,,"《クエストボード》は、地域ごとに管理され
現地で起こった問題や住民の依頼が
上がっています",,ui\00_message\npc\base\n1014.gmd,\npc\n1014.arc,n1014.arc,3
0,,"どうか、任地で民の助けとなってください
そうすることが、覚者さまの地域での
名声にもつながるでしょう",,ui\00_message\npc\base\n1014.gmd,\npc\n1014.arc,n1014.arc,4
0,,"お勤めご苦労さまでございます、覚者さま
本日もさまざまな依頼と任務が
《クエストボード》に寄せられております",,ui\00_message\npc\base\n1014.gmd,\npc\n1014.arc,n1014.arc,5
0,,覚者さま、何なりと,,ui\00_message\npc\base\n1014.gmd,\npc\n1014.arc,n1014.arc,6
0,,"ご存知です？
あのニュースの件
ほんと、心配ですわね",,ui\00_message\npc\base\n1015.gmd,\npc\n1015.arc,n1015.arc,0
0,,"噂というのはすぐに立つものですわ
そして、事件と共に移り変わるものですのよ",,ui\00_message\npc\base\n1015.gmd,\npc\n1015.arc,n1015.arc,1
0,,"覚者さま！　少し前、巨大な何かが
炎に包まれながら落下したそうなのです",,ui\00_message\npc\base\n1015.gmd,\npc\n1015.arc,n1015.arc,2
0,,"たしか、南の村――テルの方でしたわ
巨大な流れ星が地面に落ちるのを
見た者もいるとか",,ui\00_message\npc\base\n1015.gmd,\npc\n1015.arc,n1015.arc,3
0,,"もし調査に行かれるのでしたら
こっそり教えてくださらない？
私、口は堅いですわよ",,ui\00_message\npc\base\n1015.gmd,\npc\n1015.arc,n1015.arc,4
0,,ご機嫌いかがです？,,ui\00_message\npc\base\n1015.gmd,\npc\n1015.arc,n1015.arc,5
0,,"《滅びの渦》について――
きっと、私よりも覚者さまの方が
お詳しいでしょうね",,ui\00_message\npc\base\n1015.gmd,\npc\n1015.arc,n1015.arc,6
0,,"砦の方はどうなっているのでしょう
実は、弟が砦に勤めているのです
呼び戻した方がよろしいのかしら",,ui\00_message\npc\base\n1015.gmd,\npc\n1015.arc,n1015.arc,7
0,,"覚者の方々も、騎士団の方々も
顔色を変えて出てゆかれましたわ
ええ、私にも事の大きさはわかりますとも",,ui\00_message\npc\base\n1015.gmd,\npc\n1015.arc,n1015.arc,8
0,,"レスタニアですらこの有様なのですから
小さな村の混乱は計り知れませんわね",,ui\00_message\npc\base\n1015.gmd,\npc\n1015.arc,n1015.arc,9
0,,"なんだ？
神殿からの任務なら表の《クエストボード》
で発布されているだろう",,ui\00_message\npc\base\n1016.gmd,\npc\n1016.arc,n1016.arc,0
0,,"手助けはできないな
ハインツ副団長の許可がないからな",,ui\00_message\npc\base\n1016.gmd,\npc\n1016.arc,n1016.arc,1
0,,"ここは白衛騎士団司令部だ
覚者が何か用か？",,ui\00_message\npc\base\n1016.gmd,\npc\n1016.arc,n1016.arc,2
0,,"２つ以上のミッションには
エントリーできないぞ",,ui\00_message\npc\base\n1016.gmd,\npc\n1016.arc,n1016.arc,3
0,,"先にエントリーしている方のミッションを
終わらせるか、エントリーを取り消して
再度こちらに戻るんだ",,ui\00_message\npc\base\n1016.gmd,\npc\n1016.arc,n1016.arc,4
0,,覚者が俺に何か用か？,,ui\00_message\npc\base\n1016.gmd,\npc\n1016.arc,n1016.arc,5
0,,"為すべき時に為すべき事を
俺のモットーだ",,ui\00_message\npc\base\n1016.gmd,\npc\n1016.arc,n1016.arc,6
0,,つまり――無駄話は好まない,,ui\00_message\npc\base\n1016.gmd,\npc\n1016.arc,n1016.arc,7
0,,"あんたに含むところは何もないが
覚者と話すといい具合にイライラしてな
俺の性分だと思って、気にしないでくれ",,ui\00_message\npc\base\n1016.gmd,\npc\n1016.arc,n1016.arc,8
0,,"ん？　もう報酬は受け取っただろう？
また次回の任務でな",,ui\00_message\npc\base\n1017.gmd,\npc\n1017.arc,n1017.arc,0
0,,"先の森の魔物討伐における報酬を
支給している
まだ受け取っていないなら
保管ボックスから受け取るといい",,ui\00_message\npc\base\n1017.gmd,\npc\n1017.arc,n1017.arc,1
0,,"先の戦闘の評価でお前の活躍は相当のものだった
追加報酬として
シークレットアビリティが送られることになった
これがその報酬だ",,ui\00_message\npc\base\n1017.gmd,\npc\n1017.arc,n1017.arc,2
0,,"解決してもすぐまた次の問題が湧いて出る
困ったものだ",,ui\00_message\npc\base\n1017.gmd,\npc\n1017.arc,n1017.arc,3
0,,"――それにしても
少し前から《古の祭祀場》での魔物報告が
相次いでいる",,ui\00_message\npc\base\n1017.gmd,\npc\n1017.arc,n1017.arc,4
0,,"竜力が淀みやすい場所だとは聞いていたが
こうも続くとは――
お互い気が抜けんな",,ui\00_message\npc\base\n1017.gmd,\npc\n1017.arc,n1017.arc,5
0,,"あまり話しかけてくれるなよ？
団には覚者を良く思わない者が多いからな",,ui\00_message\npc\base\n1017.gmd,\npc\n1017.arc,n1017.arc,6
0,,"夜や雨天は、普段とは違う魔物が現れる
ま、外に出る時は天候も気をつけることだ",,ui\00_message\npc\base\n1017.gmd,\npc\n1017.arc,n1017.arc,7
0,,"エントリーは歓迎するが、お前は先になすべき
ミッションがあるみたいだな
そちらを終わらせるか、取り消してから
あらためて顔を出してくれ",,ui\00_message\npc\base\n1017.gmd,\npc\n1017.arc,n1017.arc,8
0,,"さきほど入った《古の祭祀場》最新情報に
よれば魔物は今姿を晦ましているようだ
出現情報が入り次第、エントリー受付を再開する",,ui\00_message\npc\base\n1017.gmd,\npc\n1017.arc,n1017.arc,9
0,,"どうにか《古の祭祀場》の件は事なきを得た
――お前への報酬は今回出ていないが
エントの確認など、協力の噂は聞いていたぞ
次は力を借りることになりそうだな",,ui\00_message\npc\base\n1017.gmd,\npc\n1017.arc,n1017.arc,10
0,,ん、どうした？,,ui\00_message\npc\base\n1017.gmd,\npc\n1017.arc,n1017.arc,11
0,,"ふん――
レオが姿を消したと聞いてどうなることかと
思っていたが――",,ui\00_message\npc\base\n1017.gmd,\npc\n1017.arc,n1017.arc,12
0,,せいぜい、仲良くしようではないか,,ui\00_message\npc\base\n1017.gmd,\npc\n1017.arc,n1017.arc,13
0,,"覚者になりたいと思うこともあったが
おまえを見ていてわかったよ",,ui\00_message\npc\base\n1017.gmd,\npc\n1017.arc,n1017.arc,14
