quest_id,gmd_idx,type_name,en_text,source_file,entry_index,prompt
q00000001,0,QUEST_TEXT_TYPE_NAME,Resolutions and Omens,q00000001_00.qtd.json,0,
q00000001,1,QUEST_TEXT_TYPE_ORDER,"Fort Gritten is being raided by the Orc army.
Join the battle with Leo and Iris as reinforcements.",q00000001_00.qtd.json,1,
q00000001,2,QUEST_TEXT_TYPE_PURPOSE,Head to Fort Gritten with Leo and Iris,q00000001_00.qtd.json,2,
q00000001,3,QUEST_TEXT_TYPE_PURPOSE,Defeat all Orcs in the fort,q00000001_00.qtd.json,3,
q00000002,0,QUEST_TEXT_TYPE_NAME,The Slumbering God,q00000002_00.qtd.json,0,
q00000002,1,QUEST_TEXT_TYPE_ORDER,"Talk to the important people in the Audience Chamber.
Learn about your position and mission as an Arisen.",q00000002_00.qtd.json,1,
q00000002,2,QUEST_TEXT_TYPE_PURPOSE,Find Leo in the Audience Chamber,q00000002_00.qtd.json,2,
q00000002,3,QUEST_TEXT_TYPE_PURPOSE,Speak with Leo and Mysial,q00000002_00.qtd.json,3,
q00000002,4,QUEST_TEXT_TYPE_PURPOSE,Speak with the White Dragon,q00000002_00.qtd.json,4,
q00000003,0,QUEST_TEXT_TYPE_NAME,Envoy of Reconciliation,q00000003_00.qtd.json,0,
q00000003,1,QUEST_TEXT_TYPE_ORDER,"Take up the mission to defeat the contested
monsters to quell the conflict between the Arisen
and the White Guard Knights.",q00000003_00.qtd.json,1,
q00000003,2,QUEST_TEXT_TYPE_PURPOSE,Head to the village of Tel,q00000003_00.qtd.json,2,
q00000003,3,QUEST_TEXT_TYPE_PURPOSE,Consult Alfred in the Black Grape Inn,q00000003_00.qtd.json,3,
q00000003,4,QUEST_TEXT_TYPE_PURPOSE,Register the Tel Village Portcrystal,q00000003_00.qtd.json,4,
q00000003,5,QUEST_TEXT_TYPE_PURPOSE,Investigate the Abandoned House Cellar,q00000003_00.qtd.json,5,
q00000003,6,QUEST_TEXT_TYPE_PURPOSE,Defeat the enemy encountered,q00000003_00.qtd.json,6,
q00000003,7,QUEST_TEXT_TYPE_PURPOSE,Report your results to Alfred,q00000003_00.qtd.json,7,
q00000003,8,QUEST_TEXT_TYPE_PURPOSE,Return to the troops' location,q00000003_00.qtd.json,8,
q00000003,9,QUEST_TEXT_TYPE_PURPOSE,Port back to the Temple and report to Leo,q00000003_00.qtd.json,9,
q00000004,0,QUEST_TEXT_TYPE_NAME,Soldiers of the Rift,q00000004_00.qtd.json,0,
q00000004,1,QUEST_TEXT_TYPE_ORDER,"In order to acquire a pawn, head to
the Pawn Settlement and complete the challenge there.",q00000004_00.qtd.json,1,
q00000004,2,QUEST_TEXT_TYPE_PURPOSE,Port to Tel and hear what Alfred has to say,q00000004_00.qtd.json,2,
q00000004,3,QUEST_TEXT_TYPE_PURPOSE,Check the Area Information with Alfred,q00000004_00.qtd.json,3,
q00000004,4,QUEST_TEXT_TYPE_PURPOSE,"Pass through the Hunters' Secret Passage
to reach the Pawn Cathedral at the other side.",q00000004_00.qtd.json,4,
q00000004,5,QUEST_TEXT_TYPE_PURPOSE,Get information in the Pawn Cathedral,q00000004_00.qtd.json,5,
q00000004,6,QUEST_TEXT_TYPE_PURPOSE,Register the Pawn Cathedral Portcrystal,q00000004_00.qtd.json,6,
q00000004,7,QUEST_TEXT_TYPE_PURPOSE,Speak with Alvar,q00000004_00.qtd.json,7,
q00000005,0,QUEST_TEXT_TYPE_NAME,The Dull Grey Ark,q00000005_00.qtd.json,0,
q00000005,1,QUEST_TEXT_TYPE_ORDER,"Head to The Ark and track down
the missing survey team.",q00000005_00.qtd.json,1,
q00000005,2,QUEST_TEXT_TYPE_PURPOSE,"Look for the survey team in The Ark
located near the village of Tel.",q00000005_00.qtd.json,2,
q00000005,3,QUEST_TEXT_TYPE_PURPOSE,Defeat the enemy that has appeared,q00000005_00.qtd.json,3,
q00000005,4,QUEST_TEXT_TYPE_PURPOSE,Report back to the Audience Chamber,q00000005_00.qtd.json,4,
q00000006,0,QUEST_TEXT_TYPE_NAME,The Girl in the Forest,q00000006_00.qtd.json,0,
q00000006,1,QUEST_TEXT_TYPE_ORDER,"Search for and rescue Mayleaf, 
who has disappeared from the Temple.",q00000006_00.qtd.json,1,
q00000006,2,QUEST_TEXT_TYPE_PURPOSE,Search for Mayleaf in Mysree Forest,q00000006_00.qtd.json,2,
q00000006,3,QUEST_TEXT_TYPE_PURPOSE,Look for Mayleaf in Glowworm Cave,q00000006_00.qtd.json,3,
q00000006,4,QUEST_TEXT_TYPE_PURPOSE,Defeat the Troll in the cave,q00000006_00.qtd.json,4,
q00000006,5,QUEST_TEXT_TYPE_PURPOSE,Speak to Mayleaf in the cleared cave,q00000006_00.qtd.json,5,
q00000006,6,QUEST_TEXT_TYPE_PURPOSE,Head to Mayleaf's meeting place,q00000006_00.qtd.json,6,
q00000006,7,QUEST_TEXT_TYPE_PURPOSE,Report back to Joseph in the Audience Chamber,q00000006_00.qtd.json,7,
q00000007,0,QUEST_TEXT_TYPE_NAME,The House of Steam,q00000007_00.qtd.json,0,
